"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
13405,37702.9,18475.9,148.8,782,468,12.2,13.35,3
11096,37710.8,18474.0,159.8,750,450,12.2,15.55,3
33065,37711.4,18474.4,134.0,311,464,12.2,16.35,1
4202,37712.2,18487.4,135.6,446,467,12.2,15.94,2
11092,37708.9,18488.1,158.2,414,457,12.2,22.43,2
13420,37680.2,18495.0,157.7,244,474,12.2,27.51,1
19085,37668.1,18495.3,157.0,241,457,12.2,27.18,1
32200,37691.8,18496.8,121.2,112,447,12.2,34.10,1
22239,37709.3,18499.0,149.8,151,453,12.2,38.45,1
32217,37720.6,18501.6,151.1,546,464,12.2,16.07,2
34449,37724.0,18485.4,179.7,367,433,12.2,23.11,1
17707,37743.4,18474.8,158.3,1287,468,12.2,10.68,4
17718,37770.5,18474.0,135.7,346,456,12.2,19.95,2
33060,37756.9,18479.1,174.6,1226,456,12.2,11.72,3
10646,37816.9,18477.9,147.4,144,447,12.2,38.67,1
15011,37744.4,18480.1,133.3,367,475,12.2,14.13,1
21266,37733.4,18482.8,154.7,372,480,12.2,18.18,1
15191,37735.8,18480.3,105.9,131,471,12.2,23.59,1
32209,37742.5,18493.3,141.0,257,446,12.2,20.88,1
32220,37739.6,18495.2,127.1,358,491,12.2,13.49,1
11087,37730.4,18497.6,177.9,196,463,12.2,41.81,1
32202,37744.9,18492.9,138.3,864,464,12.2,11.99,4
17704,37757.0,18494.7,107.4,143,479,12.2,22.37,1
32215,37767.2,18496.7,150.2,258,431,12.2,22.96,1
33068,37751.0,18498.0,136.1,198,460,12.2,25.13,1
24541,37795.0,18498.6,172.9,214,456,12.2,36.24,1
48991,37776.3,18501.7,142.6,387,473,12.2,15.14,1
31913,37652.8,18539.1,119.9,299,471,12.2,18.44,2
44985,37660.1,18522.5,164.5,714,452,12.2,14.51,2
12099,37661.4,18733.8,166.7,172,441,12.2,40.90,1
17716,37667.6,18562.1,139.3,118,485,12.2,43.44,1
47719,37679.0,18586.7,150.7,174,448,12.2,33.75,1
10486,37679.1,18720.7,177.5,333,445,12.2,24.96,1
10484,37669.7,18728.3,170.6,445,453,12.2,18.00,1
14936,37672.3,18733.1,152.4,383,468,12.2,17.09,1
10473,37684.6,18745.5,147.8,1599,474,12.2,7.83,4
21062,37679.6,18746.1,138.5,168,478,12.2,30.74,1
30321,37648.3,18784.5,150.8,430,466,12.2,19.96,2
10479,37661.0,18751.6,166.0,1223,463,12.2,10.81,3
30299,37662.9,18760.6,146.7,162,486,12.2,35.59,1
21060,37656.9,18769.6,124.9,114,468,12.2,36.21,1
457,37662.0,18779.2,153.4,2362,528,12.2,6.19,4
25993,37666.9,18782.3,163.1,225,464,12.2,31.29,1
25811,37671.2,18788.1,129.8,308,494,12.2,15.99,1
26758,37668.3,18795.3,162.7,410,466,12.2,24.06,2
30346,37663.4,18800.1,156.1,879,468,12.2,14.79,4
39006,37653.5,18800.4,146.3,1265,461,12.2,10.24,5
30254,37655.2,18804.6,162.7,308,445,12.2,22.85,1
25860,37665.1,18800.7,130.7,196,458,12.2,23.53,1
25673,37671.7,18800.2,101.0,110,450,12.2,24.89,1
16270,37675.7,18747.1,156.6,966,484,12.2,10.45,2
26686,37672.3,18782.4,149.5,251,457,12.2,23.88,1
30295,37678.4,18804.7,152.5,339,469,12.2,25.58,2
33863,37670.4,18805.3,111.3,117,472,12.2,28.70,1
30328,37650.2,18813.4,167.0,383,482,12.2,27.34,2
25995,37654.2,18812.9,163.7,279,469,12.2,25.92,1
30215,37656.2,18819.6,125.7,331,464,12.2,18.20,2
26747,37647.5,18820.3,138.2,346,469,12.2,20.91,2
30251,37656.0,18856.9,145.8,438,454,12.2,18.28,2
25917,37661.2,18811.7,183.5,480,452,12.2,19.13,1
26638,37665.7,18813.0,153.0,954,468,12.2,13.21,4
34189,37667.3,18807.3,160.4,567,473,12.2,17.44,2
25948,37667.1,18826.2,156.9,306,471,12.2,22.08,1
30219,37669.9,18827.9,156.5,1339,465,12.2,11.04,5
30276,37673.2,18847.2,150.0,253,470,12.2,24.20,1
25921,37675.7,18828.3,151.0,417,472,12.2,20.75,2
26754,37676.7,18807.9,106.6,104,473,12.2,29.59,1
33976,37677.8,18809.8,159.2,229,471,12.2,29.53,1
35155,37676.7,18853.3,156.6,186,467,12.2,34.79,1
33867,37678.8,18791.9,167.6,224,465,12.2,33.05,1
13496,37683.5,18767.5,158.2,622,488,12.2,15.84,2
1939,37684.3,18781.6,152.4,1348,490,12.2,9.74,4
10161,37679.5,18783.8,127.5,160,461,12.2,27.09,1
25937,37679.8,18837.0,139.7,197,466,12.2,26.60,1
31440,37681.9,18787.4,164.9,312,482,12.2,23.96,1
26654,37680.7,18805.1,168.3,307,459,12.2,24.68,1
